627093;67287;Archief-(wan)beheer in de gereformeerde kerken / door R.A.D. Renting;1971;;;
627097;37184;Programma's en tekstboeken van concerten en uitvoeringen der Wagner-Vereeniging;1884-1891;Amsterdam;Wagner-Vereeniging;
627374;37396;Wegwijzer : waarin opgenomen catalogus & plattegronden Huishoudbeurs, Doe het zelf RAI/De negen maanden beurs : wegwijs in Huishoudland, tips/trends/idee�n/informatie;1988;Amsterdam;Freelex Media;
628419;;;;;;
650576;40760;Urkundenbuch f�r die Geschichte des Niederrheins oder des Erzstifts C�ln, der F�rstenth�mer J�lich und Berg, Geldern, Meurs, Cleve und Mark, und der Reichsstifte Elten, Essen und Werden / aus den Quellen ... vollst�ndig und erl�utert, ... hrsg. von Theod. Jos. Lacomblet;1960;Aalen;Scientia;4 delen
650577;40057;Gejstligheden i Slesvig og Holsten fra Reformationen til 1864 : Personalhistoriske unders�gelser / Otto Fr. Arends;1932;K�benhavn;K�benhavn;3 delen
664646;1;Onze nieuwe synagoge / Commissie tot het aanbieden van een geschenk aan de Synagoge-Oost;1927;Amsterdam;s.n.;8 pagina's
775281;1;Jacob Simonszoon de Ryk : treurspel / door Lucretia Wilhelmina van Winter, geboren van Merken;1774;Amsterdam;Pieter Meijer;
775283;1;Aan de zalige schim van den grooten Joost van den Vondel, de vorst en vader der Nederduitsche po�zy en tooneelkunde, by gelegenheid dat het beslooten was, te Amsteldam weder�m een' nieuwen schouwburg te bouwen, in plaats van den ouden ver�ngelukten / [Paulatim];1773;Amsterdam;s.n;
775330;1;Historie van den Amsterdamschen schouwburg, met fraaije afbeeldingen / [Jan Fokke?];1772;Amsterdam;G. Warnars en P. den Hengst;
775334;1;Aan den heer B., maaker van het uitmuntende klinkdicht tegen my, tot bescheiden antwoord op 't zelve / Johannes Christiaan Mohr;1772;S.l.;s.n.;
775380;1;'Kon het zo schielyk afbranden?';1772;Amsterdam;Adrianus Hupkes;
798599;1;Krantenartikelen over Academisch Medisch Centrum (AMC) - Amstel Circle (appartementen in  Buitenveldert);;;;
3308608;1;Het Von Reider-exemplaar: de oudste uitgave van de kaart van Amsterdam door Cornelis Anthonisz. (1544) / Marc Hameleers;2007;;;
5124751;1;De Japanse vulkaan : gaat Tokio een tweede wereldoorlog ontketenen / Jan Romein;;;;
5124752;1;Burgeroorlog in Europa / C. J. Koppelstock;;;;
5124753;1;Henriette Roland Holst 1869-1939 / J.P. van Praag en David de Jong Jr.;;;;
